Time,R1,R2,R3,R4,Ave,SD
136.5,956.683,977.659,937.852,955.709,956.97575,16.28091933
137,956.721,977.588,938.669,955.799,957.19425,15.92964338
137.5,957.407,977.521,939.525,956.194,957.66175,15.55153474
138,958.136,977.303,940.229,956.08,957.937,15.18884755
138.5,958.896,977.083,940.892,955.992,958.21575,14.84916654
139,959.367,977.037,941.472,955.748,958.406,14.62717792
139.5,959.915,977.154,942.211,955.61,958.7225,14.41595802
140,960.509,977.3 J,942.916,955.432,952.9523333,9.054831436
140.5,961.073,977.355,944.444,955.173,959.51125,13.74385818
141,961.448,977.462,947.88,955.035,960.45625,12.61918007
141.5,961.865,977.531,950.068,954.851,961.07875,11.99049908
142,962.411,977.81,951.175,954.634,961.5075,11.84051487
142.5,962.717,978.245,952.317,954.762,962.01025,11.69847322
143,963.21,978.551,953.217,954.609,962.39675,11.64099121
143.5,963.582,978.501,953.979,954.513,962.64375,11.45308807
144,963.935,978.345,954.824,954.55,962.9135,11.17382055
144.5,964.169,978.194,955.793,954.303,963.11475,10.95064967
145,964.275,977.882,957.342,954.003,963.3755,10.5750417
145.5,964.213,977.719,959.118,953.894,963.736,10.22973942
146,964.272,977.654,960.409,953.724,964.01475,10.0829276
146.5,964.338,977.488,961.494,953.509,964.20725,9.970116929
147,964.445,977.569,961.386,953.376,964.194,10.06425381
147.5,964.618,977.519,961.133,953.15,964.105,10.14960383
148,964.686,977.542,961.009,953.456,964.17325,10.06409981
148.5,964.677,977.655,960.793,953.532,964.16425,10.11061018
149,964.788,977.749,960.671,953.52,964.182,10.17244792
149.5,965.03,978.297,960.554,953.53,964.35275,10.43173355
150,965.142,978.568,960.537,953.386,964.40825,10.60681355
150.5,965.231,978.795,960.545,953.186,964.43925,10.77829988
151,965.547,979.149,960.571,953.275,964.6355,10.90953154
151.5,965.615,979.448,960.548,952.956,964.64175,11.15777452
152,965.746,979.556,960.441,953.01,964.68825,11.20400941
152.5,965.711,979.481,960.214,952.819,964.55625,11.2649868
153,965.775,979.401,960.045,952.697,964.4795,11.29633538
153.5,966.046,979.28,959.965,952.719,964.5025,11.25754084
154,966.477,979.063,959.772,952.678,964.4975,11.22650348
154.5,966.683,978.843,959.62,952.557,964.42575,11.20884673
155,967.026,978.743,959.422,952.376,964.39175,11.28382785
155.5,967.358,978.647,959.271,952.172,964.362,11.36590841
156,967.883,978.428,959.058,952.014,964.34575,11.41423469
156.5,968.132,978.14,959.052,951.84,964.291,11.38745807
157,968.396,978.194,958.83,951.701,964.28025,11.524967
157.5,968.714,978.181,958.634,951.673,964.3005,11.60043449
158,968.782,977.922,958.47,951.697,964.21775,11.52453407
158.5,968.722,978.016,958.317,951.665,964.18,11.59115545
159,968.831,978.063,958.201,951.433,964.132,11.72738567
159.5,968.831,978.008,958.291,951.162,964.073,11.78909431
160,968.908,978.082,958.5 J,951.102,966.0306667,13.71821363
160.5,968.907,978.233,958.451,951.011,964.1505,11.91738029
161,968.843,978.416,958.282,950.866,964.10175,12.06139534
161.5,968.757,978.383,958.124,950.875,964.03475,12.05940724
162,968.715,978.287,957.97,950.793,963.94125,12.07092287
162.5,968.693,978.047,957.855,950.689,963.821,12.02993544
163,968.6 J,977.977,957.717,950.587,962.0936667,14.2098358
163.5,968.493,977.894,957.587,950.538,963.628,12.04199266
164,968.426,977.686,957.469,950.729,963.5775,11.90175686
164.5,968.563,977.507,957.272,950.978,963.58,11.79537884
165,968.664,977.359,957.119,951.03,963.543,11.76080272
165.5,968.662,977.217,956.894,951.2,963.49325,11.68662179
166,968.638,977.101,956.745,951.363,963.46175,11.60915137
166.5,968.602,976.971,956.641,951.618,963.458,11.48504816
167,968.77,976.81,956.584,951.727,963.47275,11.4216259
167.5,968.792,976.6 J,956.644,951.717,959.051,8.788295796
168,968.867,976.382,956.483,951.6,963.333,11.335598
168.5,968.779,976.246,956.307,951.825,963.28925,11.22787556
169,968.852,976.099,956.166,951.88,963.24925,11.19433128
169.5,968.841,975.904,956.183,951.797,963.18125,11.14267755
170,968.932,975.854,955.925,951.729,963.11,11.21690103
170.5,968.903,975.544,955.808,951.598,962.96325,11.16426458
171,968.997,975.356,955.673,951.628,962.9135,11.1297219
171.5,968.977,975.139,955.563,951.544,962.80575,11.09771482
172,968.982,974.992,955.487,951.525,962.7465,11.06731122
172.5,968.985,974.841,955.34,951.484,962.6625,11.0584468
173,968.926,974.721,955.157,951.868,962.668,10.916234
173.5,968.952,974.577,955.26,952.041,962.7075,10.78762082
174,968.936,974.513,955.135,951.859,962.61075,10.84987417
174.5,968.876,974.256,954.973,951.705,962.4525,10.83259958
175,968.788,974.427,955.004,951.557,962.444,10.9196916
