Time,R1,R2,R3,R4,Ave,SD
194,529.84,526.729,543.87,545.895,536.5835,9.701942709
194.5,529.931,526.641,543.91,545.881,536.59075,9.716480171
195,529.971,526.557,543.826,545.851,536.55125,9.705532112
195.5,529.842,526.465,543.719,545.865,536.47275,9.744133359
196,529.767,526.38,543.7,545.926,536.44325,9.805173511
196.5,529.771,526.329,543.666,546.169,536.48375,9.892231679
197,529.779,526.246,543.565,546.355,536.48625,9.955749608
197.5,529.73,526.17,543.442,546.296,536.4095,9.944211365
198,529.668,526.1,543.394,546.186,536.337,9.934381041
198.5,529.694,526.095,543.377,546.083,536.31225,9.892281145
199,529.68,526.344,543.38,546.002,536.3515,9.784186749
199.5,529.637,527.201,543.333,545.911,536.5205,9.466208305
200,529.566,527.192,543.487,545.861,536.5265,9.507241118
200.5,529.483,527.231,543.445,545.824,536.49575,9.49249842
201,529.508,527.421,543.389,545.787,536.52625,9.398940344
201.5,529.368,527.507,543.363,545.708,536.4865,9.374198223
202,529.415,527.541,543.464,545.626,536.5115,9.349537404
202.5,529.397,527.591,543.643,545.629,536.565,9.383799515
203,529.391,527.544,543.661,545.564,536.54,9.383983411
203.5,529.966,527.564,543.832,545.491,536.71325,9.25490239
204,529.891,527.563,543.925,545.408,536.69675,9.271409399
204.5,529.918,527.508,543.987,545.346,536.68975,9.279756691
205,529.835,527.502,543.916,545.274,536.63175,9.260974188
205.5,529.931,527.432,543.975,545.226,536.641,9.261381502
206,529.847,527.488,543.993,545.115,536.61075,9.233864571
206.5,529.871,527.437,543.98,545.059,536.58675,9.224214307
207,529.808,527.444,543.955,545.002,536.55225,9.213108573
207.5,529.747,527.387,543.921,544.858,536.47825,9.193753146
208,529.71,527.445,543.879,544.798,536.458,9.154170525
208.5,529.697,527.406,543.902,544.689,536.4235,9.143441383
209,529.583,527.404,543.899,544.727,536.40325,9.182835306
209.5,529.504,527.388,543.933,544.632,536.36425,9.188357865
210,529.453,527.323,544.347,544.602,536.43125,9.328744909
210.5,529.436,527.774,544.61,544.576,536.599,9.255590095
211,529.383,527.77,544.81,544.443,536.6015,9.291048183
211.5,529.274,528.726,544.779,544.374,536.78825,8.997398082
212,529.62,528.999,544.702,544.321,536.9105,8.781917122
212.5,529.626,528.964,544.657,544.318,536.89125,8.77664778
213,529.622,528.884,544.627,544.258,536.84775,8.77612885
213.5,529.6,528.766,544.566,544.191,536.78075,8.78106506
214,529.529,528.732,544.602,544.178,536.76025,8.817781897
214.5,529.506,528.694,544.552,544.094,536.7115,8.797239775
215,529.454,528.676,544.414,544.023,536.64175,8.756095872
215.5,529.397,528.72,544.334,543.977,536.607,8.721855651
216,529.322,528.672,544.248,543.944,536.5465,8.72233262
216.5,529.276,528.677,544.257,543.88,536.5225,8.718159764
217,529.213,528.663,544.119,543.848,536.46075,8.690129281
217.5,529.174,528.964,544.215,543.756,536.52725,8.614510293
218,529.163,528.889,544.111,543.681,536.461,8.587721623
218.5,529.142,528.953,544.105,543.753,536.48825,8.593386115
