Time,R1,R2,R3,R4,Ave,SD
114.5,739.802,741.045,741.896,744.286,741.75725,1.892452619
115,739.997,741.008,741.858,744.216,741.76975,1.799521487
115.5,740.052,741.065,741.785,744.433,741.83375,1.872973282
116,740.002,741.427,741.977,744.433,741.95975,1.846967853
116.5,739.782,741.834,742.083,744.458,742.03925,1.913946251
117,739.548,742.063,742.018,744.391,742.005,1.977656694
117.5,739.439,742.117,742.399,744.534,742.12225,2.089097632
118,739.385,741.828,742.714,744.71,742.15925,2.207582596
118.5,739.332,742.053,742.792,744.86,742.25925,2.284662977
119,739.076,742.041,742.607,744.95,742.1685,2.415839192
119.5,739.11,741.944,742.4,744.802,742.064,2.334527504
120,739.039,741.894,742.127,744.807,741.96675,2.357237985
120.5,738.94,742.059,742.179,744.87,742.012,2.424558104
121,738.913,741.981,742.094,744.913,741.97525,2.450978359
121.5,738.839,741.986,742.073,744.88,741.9445,2.468435739
122,738.554,742.012,742.291,744.722,741.89475,2.538025134
122.5,738.476,741.828,742.155,744.853,741.828,2.613647388
123,738.251,741.767,741.917,744.904,741.70975,2.721054621
123.5,738.145,741.773,741.831,745.005,741.6885,2.803748146
124,738.162,741.869,741.55,744.895,741.619,2.753802583
124.5,738.323,741.853,741.496,744.98,741.663,2.721646438
125,738.244,742.118,741.429,744.924,741.67875,2.743748698
125.5,738.469,742.421,741.769,744.925,741.896,2.659005077
126,738.607,742.901,742.155,744.972,742.15875,2.650801938
126.5,738.721,743.005,742.342,744.806,742.2185,2.553526777
127,739.025,743.575,742.445,744.626,742.41775,2.430849697
127.5,739.276,744.161,742.721,744.575,742.68325,2.406466341
128,739.393,744.183,742.891,744.482,742.73725,2.333951781
128.5,739.575,744.406,742.87,744.425,742.819,2.282100056
129,739.722,744.413,742.799,744.33,742.816,2.192086525
129.5,739.677,744.434,742.822,744.166,742.77475,2.18227517
130,739.902,744.429,742.977,744.223,742.88275,2.088134155
130.5,740.09,744.241,742.869,744.294,742.8735,1.969413534
131,740.132,744.561,742.932,744.304,742.98225,2.030264741
131.5,740.296,744.587,742.914,744.146,742.98575,1.927873159
132,740.142,744.617,742.837,744.006,742.9005,1.981738042
132.5,740.127,744.534,742.767,743.92,742.837,1.949504039
133,740.132,744.417,742.632,743.713,742.7235,1.877169589
133.5,740.452,744.281,742.366,743.797,742.724,1.719081732
134,740.917,744.224,742.509,743.828,742.8695,1.493944332
134.5,741.226,744.086,742.356,743.663,742.83275,1.299857268
135,741.384,744.092,742.466,743.655,742.89925,1.221679002
135.5,741.444,743.941,742.974,743.398,742.93925,1.072525796
136,741.353,743.724,743.003,743.243,742.83075,1.029767085
136.5,741.146,743.564,743.161,743.059,742.7325,1.079905706
137,740.977,743.437,742.996,742.972,742.5955,1.099972272
137.5,740.86,743.307,742.979,742.914,742.515,1.116659602
138,740.854,743.156,742.887,742.725,742.4055,1.049495911
138.5,740.66,743.177,742.943,742.884,742.416,1.177484607
139,740.476,742.933,742.981,742.95,742.335,1.239492638
139.5,740.613,742.936,743.043,743.001,742.39825,1.190980373
140,740.397,742.804,743.109,743.085,742.34875,1.308513756
140.5,740.378,742.601,743.133,743.166,742.3195,1.319975884
141,740.188,742.599,743.288,743.049,742.281,1.424271276
141.5,739.94,742.524,743.245,742.847,742.139,1.495362386
142,739.826,742.634,743.128,742.731,742.07975,1.517622785
142.5,739.742,742.515,743.113,742.682,742.013,1.534818773
143,739.785,742.388,743.263,742.534,741.9925,1.520621474
143.5,739.876,742.322,743.459,742.416,742.01825,1.518273663
144,739.788,742.449,743.57,742.527,742.0835,1.613410983
144.5,739.568,742.377,743.798,742.788,742.13275,1.811078017
145,739.471,742.328,743.777,742.693,742.06725,1.83696423
145.5,739.287,742.294,744.008,742.878,742.11675,2.01620359
146,739.237,742.115,744.065,742.712,742.03225,2.03424046
146.5,739.288,742.131,744.193,742.782,742.0985,2.061881746
147,739.013,742.17,744.071,742.854,742.027,2.157661543
147.5,738.847,742.087,744.173,742.838,741.98625,2.263654475
148,738.731,742.111,744.181,742.603,741.9065,2.293765681
148.5,738.846,742.032,744.056,742.588,741.8805,2.195791353
149,739.125,741.963,743.929,742.601,741.9045,2.025895275
149.5,738.903,742.051,743.959,742.503,741.854,2.12911844
150,738.914,741.942,743.87,742.398,741.781,2.080882825
150.5,738.998,741.979,743.763,742.414,741.7885,2.00940132
151,739.144,742.13,743.794,742.348,741.854,1.951743836
151.5,739.16,742.42,743.988,742.303,741.96775,2.023346465
152,739.213,742.443,744.046,742.157,741.96475,2.01406825
152.5,739.31,742.403,744.109,742.069,741.97275,1.987308125
153,739.373,742.568,743.927,741.987,741.96375,1.908925941
153.5,739.378,742.482,743.95,742.065,741.96875,1.90700697
154,739.361,742.649,743.661,741.946,741.90425,1.835818323
154.5,739.211,742.74,743.62,741.968,741.88475,1.905991846
155,739.246,742.795,743.566,742.198,741.95125,1.888438045
155.5,739.011,742.791,743.61,742.562,741.9935,2.038592407
156,738.872,743.236,743.619,742.678,742.10125,2.187229507
156.5,738.777,743.429,743.681,742.76,742.16175,2.289721872
157,738.743,743.27,743.737,742.71,742.115,2.286869622
157.5,738.612,743.272,743.972,742.71,742.1415,2.408964024
158,738.476,743.305,743.985,742.542,742.077,2.471967772
158.5,738.482,743.269,743.845,742.724,742.08,2.44194499
159,738.137,743.165,743.788,742.519,741.90225,2.563076195
159.5,738.453,743.121,743.8,742.79,742.041,2.428663967
160,738.503,743.113,743.593,742.71,741.97975,2.3457683
160.5,738.621,742.955,743.414,742.619,741.90225,2.211636103
161,738.866,742.905,743.358,742.555,741.921,2.063024156
161.5,738.946,743.054,743.194,742.4,741.8985,1.998521037
162,738.936,742.928,743.126,742.522,741.878,1.977380759
162.5,739.303,742.747,743.042,742.522,741.9035,1.746693734
163,739.234,742.737,742.903,742.48,741.8385,1.745031518
163.5,739.191,742.65,742.735,742.315,741.72275,1.697543397
164,739.292,742.677,742.548,742.247,741.691,1.609449388
