Time,R1,R2,R3,R4,Ave,SD
173.5,863.404,850.221,836.194,841.14,847.73975,11.94970533
174,863.361,850.145,836.489,840.956,847.73775,11.86602015
174.5,863.21,849.976,836.428,841.55,847.791,11.69882666
175,863.259,849.962,836.321,841.691,847.80825,11.72947817
175.5,863.117,849.927,836.171,841.559,847.6935,11.73702079
176,863.096,849.791,836.195,841.787,847.71725,11.67242478
176.5,862.937,849.764,836.041,842.16,847.7255,11.59090944
177,863.019,849.733,836.075,842.51,847.83425,11.55868336
177.5,863.016,849.992,835.94,844.149,848.27425,11.39329143
178,862.76,850.072,836.098,845.314,848.561,11.10201333
178.5,862.642,850.097,836.201,846.249,848.79725,10.93199501
179,862.893,850.139,836.225,847.237,849.1235,10.96297641
179.5,863.075,850.161,836.086,847.754,849.269,11.06779132
180,863.429,850.189,835.92,848.342,849.47,11.25826402
180.5,863.755,850.105,836.334,848.776,849.7425,11.21314046
181,863.901,850.096,836.265,849.23,849.873,11.29049196
181.5,863.939,849.886,836.027,849.578,849.8575,11.39664139
182,864.008,849.773,835.955,849.954,849.9225,11.4530303
182.5,864.049,849.926,835.98,850.155,850.0275,11.45951245
183,864.046,849.903,835.877,850.383,850.05225,11.50209289
183.5,863.903,849.911,835.898,850.692,850.101,11.43978138
184,864.027,849.808,835.976,851.068,850.21975,11.46608961
184.5,864.013,849.84,835.894,851.315,850.2655,11.50096038
185,864.447,849.978,836.128,851.566,850.52975,11.5827241
185.5,864.315,849.985,836.958,851.556,850.7035,11.18711612
186,864.533,850.179,836.963,851.337,850.753,11.26533077
186.5,864.758,851.039,837.125,851.335,851.06425,11.28266255
187,864.923,851.476,837.058,851.235,851.173,11.37821571
187.5,865.128,851.365,837.067,851.168,851.182,11.45655309
188,864.896,851.542,837.017,851.581,851.259,11.38692387
188.5,864.82,851.477,836.744,851.732,851.19325,11.47228409
189,864.752,851.535,836.7,851.746,851.18325,11.46466925
189.5,864.892,851.541,836.769,851.728,851.2325,11.49080016
190,865.058,851.427,836.528,851.632,851.16125,11.65538352
190.5,865.464,851.354,836.459,851.683,851.24,11.84636909
191,865.806,851.138,836.618,851.887,851.36225,11.92113631
191.5,865.668,851.184,836.556,852.12,851.382,11.89515195
192,865.564,851.012,836.409,852.364,851.33725,11.92215119
192.5,865.516,850.879,836.291,852.568,851.3135,11.96033825
193,865.42,850.913,836.229,852.487,851.26225,11.94518702
193.5,865.32,850.8,836.079,852.328,851.13175,11.96429121
194,865.428,850.784,836.174,852.22,851.1515,11.96412285
194.5,865.888,851.309,836.145,852.231,851.39325,12.15614836
195,866.015,851.312,836.114,852.554,851.49875,12.22784356
195.5,866.156,851.406,836.069,852.269,851.475,12.2951453
196,865.971,851.438,835.993,852.542,851.486,12.26058337
196.5,865.998,851.697,836.12,852.871,851.6715,12.22752639
197,866.023,851.772,836.102,853.056,851.73825,12.25131287
197.5,866.147,852.023,836.039,852.989,851.7995,12.32489322
198,866.076,852.378,836.227,852.877,851.8895,12.21726206
198.5,865.966,852.229,836.076,852.966,851.80925,12.24013871
199,865.837,852.143,835.976,852.927,851.72075,12.23109426
199.5,865.712,852.179,835.881,853.055,851.70675,12.22895728
200,865.663,851.958,835.95,853.088,851.66475,12.17943631
200.5,865.682,852.028,836.038,853.01,851.6895,12.14657443
201,865.595,851.816,836.108,852.912,851.60775,12.07793924
201.5,865.397,851.749,836.468,852.982,851.649,11.84985449
202,865.385,851.628,836.427,852.856,851.574,11.85779308
202.5,865.211,851.559,836.499,852.789,851.5145,11.7570643
203,865.184,851.351,836.712,852.542,851.44725,11.64808475
203.5,865.094,851.24,836.559,852.564,851.36425,11.67841743
204,865.078,851.097,836.522,852.43,851.28175,11.6838827
204.5,865.076,851.06,836.546,852.539,851.30525,11.67691887
205,864.857,851.025,836.491,852.354,851.18175,11.60789011
205.5,864.811,851.96,836.423,852.162,851.339,11.61959279
206,864.766,853.197,836.448,852.297,851.677,11.63241394
206.5,864.751,854.115,836.313,852.472,851.91275,11.73790908
207,864.532,854.2,836.65,853.027,852.10225,11.52571665
207.5,864.532,854.182,836.461,853.071,852.0615,11.61040598
208,864.607,854.099,836.551,852.945,852.0505,11.58873987
208.5,864.511,854.123,836.513,853.408,852.13875,11.5871319
209,864.358,854.059,836.481,853.545,852.11075,11.54898219
209.5,864.493,853.927,836.55,853.521,852.12275,11.55773981
210,864.494,853.781,836.6,853.289,852.041,11.51935753
210.5,864.768,853.748,838.335,853.179,852.5075,10.85002871
211,864.681,853.626,839.611,853.197,852.77875,10.26232528
211.5,864.664,853.476,840.138,853.177,852.86375,10.02768815
212,864.644,853.364,840.113,853.01,852.78275,10.02665299
212.5,864.529,853.548,839.97,853.03,852.76925,10.046342
213,864.47,853.683,839.865,852.807,852.70625,10.07054627
213.5,864.418,853.647,839.918,852.757,852.685,10.0264684
214,864.455,853.563,840.048,852.878,852.736,9.983726726
214.5,864.393,853.346,839.972,852.843,852.6385,9.985837788
215,864.468,853.458,839.812,852.717,852.61375,10.08516179
215.5,864.366,853.416,839.936,852.644,852.5905,9.991381002
216,864.352,853.284,839.748,852.603,852.49675,10.06162066
216.5,864.136,853.314,839.685,852.519,852.4135,10.00422826
217,863.985,853.388,839.55,852.439,852.3405,10.00496925
217.5,864.132,853.278,839.524,852.733,852.41675,10.0716078
