Time,R1,R2,R3,R4,Average,SD
184,472.039,474.442,469.046,471.959,471.8715,2.20806348
184.5,472.071,474.404,469.009,471.84,471.831,2.209200006
185,472.028,474.42,468.991,471.828,471.81675,2.22160053
185.5,472.037,474.394,468.873,471.79,471.7735,2.26197738
186,472.065,474.332,468.984,471.747,471.782,2.191849904
186.5,472.025,474.253,468.882,471.724,471.721,2.203283156
187,471.99,474.28,468.793,471.67,471.68325,2.250253819
187.5,472.074,474.289,468.808,471.767,471.7345,2.251383945
188,472.034,474.324,468.881,471.713,471.738,2.231448409
188.5,472.022,474.343,468.788,471.728,471.72025,2.278012346
189,472.021,474.305,468.814,471.717,471.71425,2.252223993
189.5,472.022,474.304,468.758,471.607,471.67275,2.27636719
190,472.014,474.308,468.685,471.639,471.6615,2.308554887
190.5,472.099,474.467,468.708,471.585,471.71475,2.365016473
191,472.059,474.5,468.686,471.552,471.69925,2.38571993
191.5,472.053,474.456,468.716,471.611,471.709,2.354569883
192,472.013,475.432,468.613,471.601,471.91475,2.791695587
192.5,471.982,475.443,468.625,471.622,471.918,2.790530774
193,472.009,475.478,468.631,471.835,471.98825,2.797224741
193.5,471.964,475.422,468.665,471.875,471.9815,2.759701735
194,471.936,475.479,468.679,471.974,472.017,2.777054675
194.5,471.935,475.504,468.723,471.963,472.03125,2.76998392
195,471.995,475.474,468.705,472.024,472.0495,2.763844002
195.5,472.003,475.411,468.654,471.918,471.9965,2.759065119
196,472.014,475.367,468.667,471.926,471.9935,2.735634052
196.5,471.942,475.327,468.639,471.952,471.965,2.730446728
197,472.045,475.318,468.633,471.93,471.9815,2.729552405
197.5,472.005,475.259,468.617,471.947,471.957,2.711777277
198,472.176,475.211,468.572,471.959,471.9795,2.713710928
198.5,472.261,475.172,468.584,472.022,472.00975,2.695605359
199,472.184,475.219,468.582,472.268,472.06325,2.716269669
199.5,472.205,475.154,468.597,472.496,472.113,2.693516289
200,472.172,475.154,468.508,472.393,472.05675,2.727204353
200.5,472.122,475.105,468.474,472.397,472.0245,2.722975884
201,472.164,475.053,468.439,472.408,472.016,2.719918259
201.5,472.14,474.971,468.43,472.431,471.993,2.694247328
202,472.19,475.006,468.408,472.442,472.0115,2.718420804
202.5,472.146,474.93,468.353,472.478,471.97675,2.716195056
203,472.155,474.881,468.387,472.444,471.96675,2.681459102
203.5,472.124,474.921,468.407,472.54,471.998,2.692511219
204,472.154,474.909,468.343,472.577,471.99575,2.719834722
204.5,472.113,474.922,468.483,472.65,472.042,2.666807455
205,472.094,474.96,468.46,472.725,472.05975,2.69650272
205.5,472.117,474.956,468.514,472.748,472.08375,2.673030038
206,472.122,474.938,468.466,472.733,472.06475,2.686782633
206.5,472.005,474.909,468.406,472.716,472.009,2.70132523
207,472.086,474.854,468.396,472.749,472.02125,2.689530489
207.5,472.019,474.951,468.324,472.77,472.016,2.75763268
208,472.111,475.041,468.326,472.781,472.06475,2.789950343
208.5,472.09,475.074,468.284,472.761,472.05225,2.818654097
209,472.107,475.055,468.286,472.763,472.05275,2.811245794
209.5,472.108,475.06,468.233,472.769,472.0425,2.837233923
210,472.012,475.17,468.238,472.768,472.047,2.874176752
210.5,472.032,475.179,468.218,472.863,472.073,2.894479919
211,472.077,475.134,468.318,472.849,472.0945,2.832554148
211.5,472.094,475.173,468.255,472.829,472.08775,2.87275888
212,472.082,475.218,468.284,472.849,472.10825,2.877778816
